attendance_percentage,academic_score,indiscipline_count,online_engagement_score,dropout
84.93,6.22,2.63,42.2,0
100.0,8.03,0.04,55.48,0
79.84,2.67,1.13,90.41,0
56.84,3.68,1.22,54.26,1
64.11,6.72,1.87,54.99,0
62.97,10.0,0.26,56.66,0
91.45,4.06,0.75,100.0,0
89.77,6.84,0.19,44.77,0
65.79,8.61,0.66,41.74,0
61.46,7.72,0.01,84.55,0
58.22,5.88,3.98,32.3,0
52.87,4.11,2.62,90.87,0
82.23,5.21,2.86,100.0,0
22.61,8.14,0.05,34.53,1
70.61,7.21,1.06,50.27,0
58.83,5.5,5.31,82.54,1
64.4,7.53,4.46,100.0,0
60.96,5.84,0.52,100.0,0
75.1,6.03,1.08,60.11,0
71.77,7.31,1.46,46.42,0
36.62,6.45,0.67,72.56,0
71.15,7.1,0.31,78.5,0
97.86,8.0,0.54,49.95,0
86.74,10.0,0.19,57.66,0
76.99,5.49,2.26,70.23,0
53.75,7.45,2.35,85.51,0
59.33,5.86,5.17,61.08,1
79.55,9.11,1.51,61.89,0
80.2,8.06,0.83,100.0,0
80.01,7.19,2.05,75.66,1
78.5,4.07,2.35,40.22,0
59.98,4.24,2.74,94.08,0
57.65,6.79,0.92,47.76,0
92.57,6.02,1.99,70.33,0
46.87,6.43,2.56,43.23,1
72.52,7.98,6.8,48.83,0
56.48,5.47,1.63,74.33,0
79.62,4.88,9.22,71.46,0
92.45,8.63,2.42,35.56,0
81.09,7.01,4.89,82.88,1
100.0,8.48,3.18,62.12,0
78.3,4.79,0.07,100.0,0
66.71,6.66,0.08,58.2,0
100.0,6.76,0.49,51.74,0
100.0,10.0,2.03,19.37,0
66.11,3.16,0.16,82.62,0
68.32,5.86,0.58,100.0,0
82.55,9.8,1.89,32.02,0
70.25,10.0,0.21,0.0,0
35.1,3.9,1.91,59.0,1
76.17,10.0,3.88,45.46,0
70.95,6.62,1.76,72.84,0
62.7,10.0,1.58,66.21,0
65.27,6.92,0.77,55.27,0
94.04,9.41,4.2,90.32,0
86.03,5.08,3.29,69.48,0
61.62,8.82,5.34,64.56,0
66.84,7.02,4.66,100.0,0
70.22,8.21,0.02,78.1,0
100.0,8.63,1.19,44.85,0
90.41,7.83,3.12,69.69,0
33.2,10.0,4.37,49.36,0
87.28,9.22,0.21,76.12,0
86.18,8.25,0.17,33.8,0
61.72,9.22,0.17,77.77,0
68.95,6.49,1.26,78.07,0
84.85,6.68,0.94,87.25,0
76.39,8.47,9.91,72.44,0
100.0,7.31,2.38,100.0,0
72.78,8.45,1.94,49.01,0
95.65,2.88,0.16,78.54,1
86.43,8.44,0.35,36.99,0
73.53,5.94,3.33,27.17,1
80.51,7.06,1.26,30.14,0
80.19,7.1,10.0,70.13,0
68.74,3.3,0.28,73.01,0
96.21,9.58,0.89,78.31,0
77.3,9.6,3.82,100.0,0
54.59,5.96,0.06,86.13,1
66.33,5.82,0.03,96.46,0
92.72,6.23,0.86,100.0,0
94.63,7.16,5.97,27.42,0
74.88,7.31,0.8,37.39,0
52.97,7.48,0.85,68.43,0
66.07,5.55,0.08,56.74,0
46.32,6.12,0.91,100.0,1
61.01,6.93,4.14,91.28,0
64.39,5.35,0.93,100.0,0
100.0,6.0,0.07,91.29,0
100.0,8.74,0.23,100.0,0
59.87,3.66,0.04,43.47,0
100.0,8.26,3.11,48.15,0
100.0,7.58,1.13,60.3,0
93.52,10.0,0.88,70.69,0
61.99,5.53,0.41,49.29,0
75.97,4.84,1.06,79.76,0
63.46,8.01,0.37,83.21,0
41.61,7.59,2.93,55.89,0
42.45,6.6,0.24,31.89,1
73.68,4.08,1.52,66.29,0
95.13,5.35,0.59,97.66,0
25.57,4.91,0.86,74.24,0
76.73,6.19,1.71,67.0,0
65.25,5.63,0.36,83.59,0
92.42,5.85,1.0,63.75,0
37.58,5.8,2.75,30.49,1
91.59,2.08,4.74,47.88,0
45.43,8.79,0.3,82.73,0
78.64,7.0,0.33,42.72,0
76.43,5.54,2.87,61.31,0
69.6,4.54,3.19,59.31,0
92.39,9.21,2.37,29.19,0
39.43,9.49,1.24,74.51,1
77.19,7.95,2.39,75.42,0
100.0,9.19,1.1,74.6,0
55.21,6.25,8.38,100.0,1
