student_id,name,attendance,avg_grade,infractions,gender,support,mode,dropout_risk,program
STU0001,Student 1,90.0,8.9,0,F,medium,full_time,0,Engineering
STU0002,Student 2,83.6,10.0,0,M,medium,part_time,0,Engineering
STU0003,Student 3,91.5,5.4,0,M,low,full_time,1,Arts
STU0004,Student 4,100.0,8.3,0,M,medium,full_time,0,Arts
STU0005,Student 5,82.7,6.5,0,M,medium,full_time,0,Business
STU0006,Student 6,82.7,6.8,0,F,high,full_time,0,Engineering
STU0007,Student 7,100.0,6.6,0,F,high,full_time,0,Business
STU0008,Student 8,92.7,6.2,0,F,medium,part_time,1,Engineering
STU0009,Student 9,80.3,7.6,0,M,medium,full_time,0,Business
STU0010,Student 10,90.4,6.3,0,M,medium,full_time,1,Business
STU0011,Student 11,80.4,7.9,0,M,low,full_time,0,Science
STU0012,Student 12,80.3,7.4,0,M,low,full_time,0,Business
STU0013,Student 13,87.4,7.1,0,M,medium,part_time,1,Arts
STU0014,Student 14,65.9,6.1,0,M,medium,part_time,1,Business
STU0015,Student 15,67.8,6.6,0,M,high,full_time,0,Engineering
STU0016,Student 16,79.4,8.6,0,F,medium,full_time,0,Business
STU0017,Student 17,74.9,8.3,0,F,medium,full_time,0,Computer Science
STU0018,Student 18,88.1,6.0,0,F,medium,part_time,0,Education
STU0019,Student 19,75.9,7.6,0,F,low,full_time,1,Engineering
STU0020,Student 20,70.9,8.6,0,F,medium,full_time,0,Computer Science
STU0021,Student 21,99.7,5.0,0,M,medium,part_time,0,Engineering
STU0022,Student 22,82.7,8.3,0,F,medium,full_time,0,Arts
STU0023,Student 23,85.7,6.5,0,F,medium,part_time,1,Education
STU0024,Student 24,70.8,8.4,0,M,high,full_time,0,Education
STU0025,Student 25,79.6,6.4,0,M,high,full_time,0,Arts
STU0026,Student 26,86.1,4.8,0,F,medium,full_time,1,Education
STU0027,Student 27,73.5,5.1,0,M,medium,part_time,1,Arts
STU0028,Student 28,88.8,7.6,0,F,medium,part_time,1,Computer Science
STU0029,Student 29,79.0,7.9,0,F,medium,full_time,0,Science
STU0030,Student 30,82.1,6.1,0,M,medium,full_time,0,Engineering
STU0031,Student 31,79.0,8.5,0,M,low,full_time,1,Arts
STU0032,Student 32,100.0,5.0,0,M,medium,part_time,1,Engineering
STU0033,Student 33,84.9,7.4,0,M,medium,full_time,0,Computer Science
STU0034,Student 34,74.4,5.7,0,M,medium,full_time,1,Science
STU0035,Student 35,93.2,6.5,0,F,high,full_time,0,Computer Science
STU0036,Student 36,72.8,7.6,0,M,high,part_time,1,Education
STU0037,Student 37,87.1,6.2,0,M,high,full_time,0,Engineering
STU0038,Student 38,65.4,6.9,0,M,medium,full_time,0,Science
STU0039,Student 39,71.7,9.0,0,F,high,full_time,0,Education
STU0040,Student 40,87.0,6.6,0,M,low,part_time,1,Science
STU0041,Student 41,92.4,8.8,0,M,high,full_time,0,Education
STU0042,Student 42,86.7,5.8,0,F,low,full_time,1,Computer Science
STU0043,Student 43,83.8,8.3,0,F,high,part_time,0,Arts
STU0044,Student 44,82.0,9.7,0,M,medium,full_time,0,Engineering
STU0045,Student 45,70.2,3.8,0,F,high,full_time,0,Business
STU0046,Student 46,77.8,6.3,0,M,high,full_time,0,Business
STU0047,Student 47,80.4,8.4,0,M,low,part_time,1,Computer Science
STU0048,Student 48,95.6,7.2,0,M,medium,full_time,0,Engineering
STU0049,Student 49,88.4,8.1,0,M,high,part_time,0,Engineering
STU0050,Student 50,67.4,6.6,0,F,medium,full_time,1,Computer Science
STU0051,Student 51,88.2,7.6,0,M,high,full_time,0,Engineering
STU0052,Student 52,81.1,7.3,0,M,medium,full_time,0,Arts
STU0053,Student 53,78.2,9.3,0,F,medium,part_time,0,Computer Science
STU0054,Student 54,91.1,7.9,0,F,medium,full_time,0,Arts
STU0055,Student 55,95.3,8.0,0,M,medium,part_time,0,Engineering
STU0056,Student 56,94.3,6.9,0,F,high,full_time,0,Computer Science
STU0057,Student 57,76.6,6.8,0,M,medium,full_time,0,Engineering
STU0058,Student 58,81.9,6.9,0,F,medium,full_time,0,Computer Science
STU0059,Student 59,88.3,8.1,0,F,medium,part_time,1,Engineering
STU0060,Student 60,94.8,6.9,0,F,medium,full_time,0,Arts
STU0061,Student 61,80.2,7.9,0,M,high,full_time,0,Arts
STU0062,Student 62,83.1,10.0,0,M,high,full_time,0,Engineering
STU0063,Student 63,73.9,8.8,0,M,medium,part_time,0,Computer Science
STU0064,Student 64,73.0,7.0,0,M,high,full_time,0,Business
STU0065,Student 65,93.1,9.3,0,M,high,part_time,0,Arts
STU0066,Student 66,98.6,6.9,0,F,medium,full_time,0,Arts
STU0067,Student 67,84.3,4.4,0,M,high,full_time,0,Education
STU0068,Student 68,95.0,6.0,0,M,medium,full_time,0,Business
STU0069,Student 69,88.6,4.7,0,F,low,part_time,1,Engineering
STU0070,Student 70,78.5,7.0,0,M,high,part_time,0,Computer Science
STU0071,Student 71,88.6,7.5,0,F,medium,full_time,0,Education
STU0072,Student 72,100.0,10.0,0,M,high,full_time,0,Engineering
STU0073,Student 73,84.6,8.0,0,M,high,full_time,0,Science
STU0074,Student 74,100.0,7.2,0,M,low,full_time,1,Arts
STU0075,Student 75,58.8,8.7,0,M,high,full_time,0,Science
STU0076,Student 76,93.2,4.2,0,F,medium,full_time,0,Arts
STU0077,Student 77,85.9,7.9,0,M,medium,full_time,0,Arts
STU0078,Student 78,82.0,8.7,0,F,medium,full_time,0,Science
STU0079,Student 79,85.9,5.3,0,M,high,full_time,1,Science
STU0080,Student 80,65.1,9.2,0,M,low,full_time,0,Engineering
STU0081,Student 81,82.8,8.0,0,F,medium,full_time,0,Education
STU0082,Student 82,88.6,6.9,0,M,medium,full_time,0,Education
STU0083,Student 83,99.8,8.4,0,F,high,part_time,0,Science
STU0084,Student 84,79.8,10.0,0,F,medium,full_time,0,Engineering
STU0085,Student 85,76.9,7.8,0,F,low,full_time,0,Education
STU0086,Student 86,80.0,7.9,0,F,medium,full_time,0,Engineering
STU0087,Student 87,94.2,6.8,0,M,medium,full_time,0,Engineering
STU0088,Student 88,88.3,6.2,0,M,high,full_time,0,Arts
STU0089,Student 89,79.7,8.7,0,M,medium,full_time,0,Education
STU0090,Student 90,90.1,6.2,0,F,medium,part_time,0,Education
STU0091,Student 91,86.0,7.6,0,F,high,full_time,0,Arts
STU0092,Student 92,94.7,6.8,0,M,low,full_time,0,Science
STU0093,Student 93,78.0,8.2,0,F,high,full_time,0,Arts
STU0094,Student 94,81.7,8.0,0,M,medium,full_time,0,Education
STU0095,Student 95,81.1,9.1,0,F,high,full_time,0,Education
STU0096,Student 96,70.4,6.7,0,M,medium,part_time,1,Science
STU0097,Student 97,88.0,7.1,0,F,low,full_time,0,Arts
STU0098,Student 98,87.6,6.0,0,F,high,full_time,0,Computer Science
STU0099,Student 99,85.1,6.8,0,M,high,full_time,0,Computer Science
STU0100,Student 100,82.7,8.1,0,M,high,full_time,0,Science
STU0101,Student 101,70.8,8.6,0,M,low,part_time,1,Arts
STU0102,Student 102,80.8,6.1,0,M,high,full_time,1,Arts
STU0103,Student 103,81.6,8.8,0,M,high,full_time,0,Engineering
STU0104,Student 104,77.0,9.5,0,F,medium,full_time,0,Education
STU0105,Student 105,83.4,8.1,0,F,high,part_time,0,Business
STU0106,Student 106,89.0,10.0,0,F,high,full_time,0,Science
STU0107,Student 107,100.0,6.3,0,M,medium,full_time,0,Business
STU0108,Student 108,86.7,5.6,0,F,low,full_time,1,Business
STU0109,Student 109,87.6,4.8,0,F,medium,full_time,0,Science
STU0110,Student 110,84.3,9.7,0,M,low,full_time,0,Arts
STU0111,Student 111,65.8,8.5,0,F,medium,full_time,1,Science
STU0112,Student 112,84.7,7.4,0,F,medium,full_time,0,Business
STU0113,Student 113,85.6,7.9,0,M,low,full_time,0,Education
STU0114,Student 114,100.0,5.8,0,M,medium,full_time,0,Education
STU0115,Student 115,83.1,10.0,0,M,low,full_time,0,Education
STU0116,Student 116,88.0,7.7,0,M,high,full_time,0,Arts
STU0117,Student 117,84.7,7.7,0,F,high,full_time,0,Computer Science
STU0118,Student 118,73.3,8.6,0,F,low,full_time,1,Science
STU0119,Student 119,96.4,8.2,0,F,high,part_time,0,Education
STU0120,Student 120,92.5,7.8,0,M,medium,full_time,0,Science
STU0121,Student 121,92.9,6.3,0,M,medium,full_time,0,Education
STU0122,Student 122,75.9,8.2,0,F,low,full_time,1,Arts
STU0123,Student 123,99.0,10.0,0,F,medium,part_time,0,Computer Science
STU0124,Student 124,71.0,9.5,0,M,high,full_time,0,Computer Science
STU0125,Student 125,90.9,9.9,0,M,high,full_time,0,Education
STU0126,Student 126,100.0,6.7,0,F,low,full_time,1,Arts
STU0127,Student 127,75.1,6.0,0,M,low,full_time,1,Engineering
STU0128,Student 128,79.3,7.3,0,M,medium,full_time,0,Science
STU0129,Student 129,86.0,7.6,0,F,medium,full_time,0,Science
STU0130,Student 130,80.0,9.1,0,M,medium,full_time,0,Business
STU0131,Student 131,69.5,5.0,0,M,medium,part_time,1,Arts
STU0132,Student 132,85.7,9.8,0,M,high,full_time,0,Business
STU0133,Student 133,74.4,7.3,0,M,high,full_time,0,Education
STU0134,Student 134,89.7,6.9,0,F,medium,full_time,0,Business
STU0135,Student 135,75.8,6.0,0,M,high,full_time,0,Computer Science
STU0136,Student 136,100.0,5.0,0,M,medium,full_time,0,Science
STU0137,Student 137,77.2,8.7,0,F,medium,full_time,0,Business
STU0138,Student 138,81.8,7.6,0,F,medium,full_time,0,Computer Science
STU0139,Student 139,93.1,5.6,0,F,medium,part_time,1,Arts
STU0140,Student 140,72.7,5.6,0,M,high,part_time,1,Business
STU0141,Student 141,87.3,7.0,0,M,medium,full_time,0,Education
STU0142,Student 142,98.1,10.0,0,F,medium,full_time,0,Education
STU0143,Student 143,68.9,7.1,0,F,medium,part_time,1,Education
STU0144,Student 144,86.8,5.2,0,M,low,full_time,1,Science
STU0145,Student 145,87.6,7.1,0,M,high,part_time,0,Business
STU0146,Student 146,92.8,7.1,0,M,medium,full_time,0,Arts
STU0147,Student 147,72.6,3.5,0,F,medium,full_time,1,Business
STU0148,Student 148,71.8,7.4,0,F,medium,full_time,0,Science
STU0149,Student 149,90.2,7.2,0,M,medium,full_time,0,Computer Science
STU0150,Student 150,88.0,8.5,0,M,low,full_time,0,Science
STU0151,Student 151,87.5,10.0,0,F,medium,full_time,0,Education
STU0152,Student 152,88.5,9.2,0,F,medium,full_time,0,Computer Science
STU0153,Student 153,78.2,7.1,0,M,high,full_time,0,Education
STU0154,Student 154,87.3,5.8,0,F,high,full_time,0,Engineering
STU0155,Student 155,87.9,10.0,0,F,high,part_time,0,Science
STU0156,Student 156,77.9,7.6,0,M,medium,full_time,0,Science
STU0157,Student 157,100.0,7.5,0,F,medium,part_time,0,Arts
STU0158,Student 158,89.7,7.5,0,M,low,full_time,1,Business
STU0159,Student 159,73.1,7.8,0,F,high,full_time,0,Computer Science
STU0160,Student 160,91.6,7.3,0,F,medium,part_time,0,Computer Science
STU0161,Student 161,75.3,6.6,0,F,medium,full_time,0,Arts
STU0162,Student 162,92.9,6.7,0,F,medium,full_time,0,Arts
STU0163,Student 163,96.6,7.5,0,M,low,full_time,0,Business
STU0164,Student 164,76.8,6.7,0,F,medium,full_time,0,Education
STU0165,Student 165,94.6,6.4,0,F,low,full_time,1,Business
STU0166,Student 166,89.1,7.7,0,M,high,part_time,0,Science
STU0167,Student 167,93.2,7.1,0,F,medium,full_time,0,Education
STU0168,Student 168,100.0,9.8,0,F,low,full_time,0,Engineering
STU0169,Student 169,82.5,3.5,0,M,medium,full_time,1,Business
STU0170,Student 170,77.5,9.1,0,F,low,full_time,1,Arts
STU0171,Student 171,76.1,9.4,0,F,medium,full_time,0,Education
STU0172,Student 172,76.8,4.4,0,M,high,full_time,0,Business
